Time,Engine Speed,Intake air temperature,Relative Load,Relative Load Setpoint,Lambda Bank 1,Lambda Bank 2,Additive adaptive correction of the relative fuel mass Bank1,Additive adaptive correction of the relative fuel mass Bank2,Manifold Pressure,Cylinder 1 ignition retard,Cylinder 2 ignition retard,Cylinder 3 ignition retard,Cylinder 4 ignition retard,Cylinder 5 ignition retard,Cylinder 6 ignition retard,Actual Ignition Angle,Target position throttle valve,Pedal Position
0.191,2329,33.75,29.34,29.6719,0.98755,1.01294,0.0000,0.0000,696.0156,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1719,9.1250
0.252,2333,33.75,29.34,29.6016,0.99390,1.00879,0.0000,0.0000,696.0938,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1641,9.1406
0.311,2332,33.75,29.41,29.6016,0.99951,1.00244,0.0000,0.0000,696.7969,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1094,9.1563
0.371,2338,33.75,29.46,29.6016,1.00537,0.99805,0.0000,0.0000,697.4219,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1094,9.1563
0.432,2339,33.75,29.51,29.6016,1.01099,0.99609,0.0000,0.0000,698.0469,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1250,9.1563
0.492,2347,33.75,29.53,29.5781,1.01221,0.99878,0.0000,0.0000,697.8125,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.0938,9.1094
0.552,2339,33.75,29.58,29.5547,1.00879,1.00244,0.0000,0.0000,698.0469,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1250,9.0781
0.612,2349,33.75,29.60,29.6016,1.00610,1.00586,0.0000,0.0000,698.0469,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.0625,9.0625
0.672,2343,33.75,29.58,29.6016,0.99438,1.01147,0.0000,0.0000,698.2031,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.1016,9.0625
0.731,2351,33.75,29.58,29.5547,0.99121,1.01465,0.0000,0.0000,697.9688,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.0781,9.0938
0.791,2349,33.75,29.60,29.5547,0.98999,1.01538,0.0000,0.0000,698.1250,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.0781,9.0625
0.852,2358,33.75,29.53,29.6016,0.99023,1.01294,0.0000,0.0000,698.1250,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.0313,9.0625
0.911,2353,33.75,29.63,30.4688,0.99756,1.01074,0.0000,0.0000,698.2031,0.000,0.000,0.000,0.000,0.000,0.000,39.700,9.3438,9.0313
0.971,2360,33.75,29.86,34.2188,1.00439,1.01001,0.0000,0.0000,701.6406,0.000,0.000,0.000,0.000,0.000,0.000,39.700,12.7500,10.9609
1.031,2361,33.75,36.23,58.5938,1.00610,1.00854,0.0000,0.0000,799.0625,0.000,0.000,0.000,0.000,0.000,0.000,31.500,23.2656,17.5703
1.091,2394,33.75,55.62,119.0156,1.01221,1.00586,0.0000,0.0000,979.6875,0.000,0.000,0.000,0.000,0.000,0.000,25.800,85.6484,49.9609
1.150,2390,33.75,79.48,178.1484,1.01807,1.01367,0.0000,0.0000,984.3750,0.000,0.000,0.000,0.000,0.000,0.000,-4.500,91.2500,89.1016
1.210,2437,33.75,80.98,185.1563,1.00732,1.02051,0.0000,0.0000,996.0938,0.000,0.000,0.000,0.000,0.000,0.000,14.200,92.3125,92.1953
1.271,2448,33.75,82.80,185.2969,0.96826,0.96484,0.0000,0.0000,1013.6719,0.000,0.000,0.000,0.000,0.000,0.000,13.900,92.6484,92.9063
1.330,2657,33.75,87.16,174.6563,0.97925,0.96558,0.0000,0.0000,1029.5313,0.000,0.000,0.000,0.000,0.000,0.000,14.700,94.9609,93.9297
1.390,2860,33.75,89.93,168.3516,0.98901,0.98145,0.0000,0.0000,1050.2344,0.000,0.000,0.000,0.000,0.000,0.000,15.400,97.6641,96.8594
1.450,3008,33.75,93.30,166.5469,0.99146,0.98340,0.0000,0.0000,1070.6250,0.000,0.000,0.000,0.000,0.000,0.000,15.700,99.6641,98.0313
1.511,3174,33.75,97.99,167.9531,0.97656,0.97437,0.0000,0.0000,1095.7813,0.000,0.000,0.000,0.000,0.000,0.000,16.200,99.9531,99.7422
1.570,3378,33.75,103.62,170.2500,0.96753,0.96216,0.0000,0.0000,1125.5469,0.000,0.000,0.000,0.000,0.000,0.000,15.400,99.9844,100.0000
1.630,3604,33.75,110.58,172.8281,0.96094,0.96533,0.0000,0.0000,1156.6406,0.000,0.000,0.000,0.000,0.000,0.000,15.700,99.9922,100.0000
1.690,3850,33.75,115.48,174.3516,0.95825,0.96387,0.0000,0.0000,1200.6250,0.000,0.000,0.000,0.000,0.000,0.000,16.000,99.9922,99.9844
1.751,4067,33.75,119.20,176.2734,0.97119,0.96484,0.0000,0.0000,1258.5938,0.000,0.000,0.000,0.000,0.000,0.000,16.300,99.9922,99.9531
1.810,4284,33.75,126.47,176.6250,0.98877,0.98364,0.0000,0.0000,1341.5625,0.000,0.000,0.000,0.000,0.000,0.000,16.500,99.9922,99.9531
1.870,4578,33.75,128.25,176.2031,0.98706,0.98413,0.0000,0.0000,1458.5156,0.000,0.000,0.000,0.000,0.000,0.000,18.000,99.9922,99.9844
1.930,4752,33.75,134.53,175.0547,0.98120,0.98706,0.0000,0.0000,1595.9375,0.000,0.000,0.000,0.000,0.000,0.000,17.800,99.9922,100.0000
1.990,4971,33.75,145.34,179.6250,1.00537,1.00293,0.0000,0.0000,1744.5313,0.000,0.000,0.000,0.000,0.000,0.000,15.700,99.9922,99.9844
2.051,5136,33.75,161.72,183.0938,1.01294,1.01343,0.0000,0.0000,1946.7969,0.000,0.000,0.000,0.000,0.000,0.000,7.900,99.9922,99.9688
2.111,5224,33.75,180.16,189.8672,1.00610,1.00708,0.0000,0.0000,2168.2813,0.000,0.000,0.000,0.000,0.000,0.000,8.800,99.9922,99.9531
2.170,5204,33.75,188.20,195.1172,1.01489,1.00879,0.0000,0.0000,2263.6719,0.000,0.000,0.000,0.000,0.000,0.000,8.600,99.9922,99.9688
2.231,5218,33.75,189.30,195.7031,1.04224,1.04150,0.0000,0.0000,2278.9063,0.000,0.000,0.000,0.000,0.000,0.000,8.200,99.9922,99.9844
2.291,5349,33.75,190.45,196.4531,1.02783,1.02930,0.0000,0.0000,2315.3906,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.9922,99.9844
