Time,Engine Speed,Intake air temperature,Relative Load,Relative Load Setpoint,Lambda Bank 1,Lambda Bank 2,Additive adaptive correction of the relative fuel mass Bank1,Additive adaptive correction of the relative fuel mass Bank2,Manifold Pressure,Cylinder 1 ignition retard,Cylinder 2 ignition retard,Cylinder 3 ignition retard,Cylinder 4 ignition retard,Cylinder 5 ignition retard,Cylinder 6 ignition retard,Actual Ignition Angle,Target position throttle valve,Pedal Position
0.185,846,36.00,20.55,19.1016,0.84326,0.87671,0.0000,0.0000,343.5156,0.000,0.000,0.000,0.000,0.000,0.000,-6.800,1.9375,1.9297
0.245,835,36.00,20.23,19.5938,0.84326,0.87500,0.0000,0.0000,339.4531,0.000,0.000,0.000,0.000,0.000,0.000,-5.600,1.9609,1.9297
0.305,829,36.00,20.09,19.9219,0.84180,0.87158,0.0000,0.0000,337.8125,0.000,0.000,0.000,0.000,0.000,0.000,-4.300,1.9922,1.9141
0.365,819,36.00,19.97,20.1797,0.84082,0.86890,0.0000,0.0000,336.0156,0.000,0.000,0.000,0.000,0.000,0.000,-3.200,2.0078,1.9453
0.425,814,36.00,19.90,20.4375,0.83862,0.86572,0.0000,0.0000,335.1563,0.000,0.000,0.000,0.000,0.000,0.000,-2.200,2.0078,1.9766
0.485,818,36.00,19.80,20.8594,0.83740,0.86328,0.0000,0.0000,334.1406,0.000,0.000,0.000,0.000,0.000,0.000,-2.300,2.0156,2.0313
0.545,824,36.00,19.76,21.5859,0.83691,0.86157,0.0000,0.0000,333.8281,0.000,0.000,0.000,0.000,0.000,0.000,-3.000,2.4141,2.4531
0.605,823,36.00,20.51,21.5625,0.83691,0.85864,0.0000,0.0000,343.5938,0.000,0.000,0.000,0.000,0.000,0.000,-4.100,2.2578,2.4219
0.665,821,36.00,20.74,21.4688,0.83740,0.85693,0.0000,0.0000,346.4844,0.000,0.000,0.000,0.000,0.000,0.000,-5.400,2.2266,2.2266
0.725,819,36.00,20.86,21.5156,0.83740,0.85645,0.0000,0.0000,347.4219,0.000,0.000,0.000,0.000,0.000,0.000,-5.700,2.2266,2.1953
0.785,820,36.00,20.86,21.4453,0.83862,0.85596,0.0000,0.0000,347.8125,0.000,0.000,0.000,0.000,0.000,0.000,-5.800,2.1953,2.1797
0.845,818,36.00,20.88,21.4922,0.84082,0.85718,0.0000,0.0000,347.7344,0.000,0.000,0.000,0.000,0.000,0.000,-5.400,2.1953,2.1719
0.905,819,36.00,20.91,21.3516,0.84375,0.86011,0.0000,0.0000,347.6563,0.000,0.000,0.000,0.000,0.000,0.000,-5.900,2.1953,2.1875
0.965,812,36.00,20.88,21.4219,0.84717,0.86304,0.0000,0.0000,347.5781,0.000,0.000,0.000,0.000,0.000,0.000,-6.100,2.1719,2.1953
1.025,808,36.00,20.88,21.5391,0.85034,0.86621,0.0000,0.0000,347.6563,0.000,0.000,0.000,0.000,0.000,0.000,-5.600,2.1797,2.1719
1.085,804,36.00,20.91,21.7500,0.85327,0.86914,0.0000,0.0000,347.9688,0.000,0.000,0.000,0.000,0.000,0.000,-4.800,2.1797,2.1719
1.145,798,36.00,20.91,21.8906,0.85498,0.87061,0.0000,0.0000,348.5938,0.000,0.000,0.000,0.000,0.000,0.000,-4.500,2.1953,2.1563
1.205,794,36.00,21.00,21.8672,0.85718,0.87183,0.0000,0.0000,349.2969,0.000,0.000,0.000,0.000,0.000,0.000,-4.500,2.1953,2.1719
1.265,803,36.00,21.09,21.5391,0.85938,0.87329,0.0000,0.0000,350.3906,0.000,0.000,0.000,0.000,0.000,0.000,-5.400,2.1719,2.1953
1.325,813,36.00,21.14,21.3047,0.86084,0.87280,0.0000,0.0000,351.2500,0.000,0.000,0.000,0.000,0.000,0.000,-6.700,2.0859,2.1719
1.385,808,36.00,21.21,21.2813,0.86353,0.87476,0.0000,0.0000,351.7188,0.000,0.000,0.000,0.000,0.000,0.000,-6.700,2.1016,2.1563
1.445,808,36.00,21.23,21.3281,0.86475,0.87573,0.0000,0.0000,351.8750,0.000,0.000,0.000,0.000,0.000,0.000,-6.300,2.1719,2.1094
1.505,820,36.00,21.21,20.9766,0.86621,0.87646,0.0000,0.0000,351.7188,0.000,0.000,0.000,0.000,0.000,0.000,-8.300,2.1016,2.0781
1.565,814,36.00,21.16,21.1641,0.86572,0.87695,0.0000,0.0000,350.9375,0.000,0.000,0.000,0.000,0.000,0.000,-7.800,2.1328,2.1094
1.625,807,36.00,21.09,21.4219,0.86646,0.87842,0.0000,0.0000,350.1563,0.000,0.000,0.000,0.000,0.000,0.000,-7.200,2.1484,2.1094
1.685,805,36.00,21.07,21.4922,0.86694,0.87891,0.0000,0.0000,349.6875,0.000,0.000,0.000,0.000,0.000,0.000,-6.400,2.1484,2.1094
1.745,807,36.00,21.05,21.5156,0.86548,0.87695,0.0000,0.0000,349.3750,0.000,0.000,0.000,0.000,0.000,0.000,-5.900,2.1563,2.1250
1.811,813,36.00,21.05,21.3516,0.86426,0.87573,0.0000,0.0000,349.2188,0.000,0.000,0.000,0.000,0.000,0.000,-7.400,2.0859,2.1563
1.865,809,36.00,21.00,21.4453,0.86328,0.87427,0.0000,0.0000,348.9844,0.000,0.000,0.000,0.000,0.000,0.000,-7.100,2.1563,2.1563
1.925,807,36.00,20.98,21.5156,0.86133,0.87256,0.0000,0.0000,348.8281,0.000,0.000,0.000,0.000,0.000,0.000,-6.200,2.1563,2.1406
1.985,807,36.00,21.00,21.5156,0.85938,0.86987,0.0000,0.0000,348.9844,0.000,0.000,0.000,0.000,0.000,0.000,-6.100,2.1563,2.1563
2.045,807,36.00,21.02,21.4922,0.85742,0.86816,0.0000,0.0000,349.4531,0.000,0.000,0.000,0.000,0.000,0.000,-6.200,2.1484,2.1563
2.105,807,36.00,21.05,25.5938,0.85620,0.86719,0.0000,0.0000,349.6094,0.000,0.000,0.000,0.000,0.000,0.000,-6.400,3.7656,2.8906
2.166,803,36.00,22.15,40.3594,0.85571,0.86621,0.0000,0.0000,364.6875,0.000,0.000,0.000,0.000,0.000,0.000,-7.400,2.5469,3.0703
2.225,813,36.00,23.32,71.6016,0.85522,0.86646,0.0000,0.0000,379.6094,0.000,0.000,0.000,0.000,0.000,0.000,20.100,78.5703,30.3984
2.285,882,36.00,73.50,101.6719,0.85620,0.86719,0.0000,0.0000,957.9688,0.000,0.000,0.000,0.000,0.000,0.000,2.600,79.5469,53.3438
2.345,921,36.00,76.57,101.9063,0.85815,0.86768,0.0000,0.0000,975.1563,0.000,0.000,0.000,0.000,0.000,0.000,-1.900,98.6875,90.0313
2.405,1250,36.00,76.71,102.9609,0.90820,0.89502,0.0000,0.0000,975.9375,0.000,0.000,0.000,0.000,0.000,0.000,1.800,99.9141,99.8594
2.466,1588,36.00,67.52,118.2656,0.87695,0.90723,0.0000,0.0000,972.8125,0.000,0.000,0.000,0.000,0.000,0.000,10.600,59.9922,78.7656
2.525,1916,36.00,70.13,141.1172,0.86206,0.85596,0.0000,0.0000,966.5625,0.000,0.000,0.000,0.000,0.000,0.000,13.500,42.1797,36.2109
2.585,2193,36.00,71.67,176.9531,0.84888,0.84448,0.0000,0.0000,954.2188,0.000,0.000,0.000,0.000,0.000,0.000,14.300,82.1797,60.6016
2.645,2473,36.00,76.31,199.9219,0.84155,0.82813,0.0000,0.0000,968.0469,0.000,0.000,0.000,0.000,0.000,0.000,13.800,99.4375,97.0625
2.705,2709,36.00,81.05,219.5156,0.85400,0.86938,0.0000,0.0000,972.8906,0.000,0.000,0.000,0.000,0.000,0.000,14.400,99.9922,100.0000
2.765,2924,36.00,83.93,228.3516,0.84326,0.89600,0.0000,0.0000,984.5313,0.000,0.000,0.000,0.000,0.000,0.000,15.000,99.9922,100.0000
2.825,3128,36.00,87.87,199.1719,0.84326,0.89819,0.0000,0.0000,999.2969,0.000,0.000,0.000,0.000,0.000,0.000,15.100,89.9922,100.0000
2.886,3273,36.00,91.43,159.7969,0.83813,0.84961,0.0000,0.0000,1021.1719,0.000,0.000,0.000,0.000,0.000,0.000,15.300,47.5469,56.4219
2.945,3347,36.00,93.42,157.7109,0.83252,0.83887,0.0000,0.0000,1036.1719,0.000,0.000,0.000,0.000,0.000,0.000,15.500,46.4375,46.3594
3.005,3385,36.00,97.13,164.0156,0.83325,0.84814,0.0000,0.0000,1069.1406,0.000,0.000,0.000,0.000,0.000,0.000,15.500,47.5469,46.7734
3.066,3414,36.00,101.98,171.9375,0.84521,0.84985,0.0000,0.0000,1112.5000,0.000,0.000,0.000,0.000,0.000,0.000,15.200,48.1016,47.6797
3.125,3461,36.00,107.91,176.5547,0.85083,0.84814,0.0000,0.0000,1157.9688,0.000,0.000,0.000,0.000,0.000,0.000,15.000,48.5547,47.2578
3.185,3518,36.00,114.28,175.7813,0.84448,0.83984,0.0000,0.0000,1213.0469,0.000,0.000,0.000,0.000,0.000,0.000,14.300,47.5156,47.1406
3.245,3600,36.00,122.32,168.7969,0.84106,0.84277,0.0000,0.0000,1281.0156,0.000,0.000,0.000,0.000,0.000,0.000,13.500,49.8516,50.2031
3.305,3680,36.00,130.73,169.2422,0.83984,0.83984,0.0000,0.0000,1352.1094,0.000,0.000,0.000,0.000,0.000,0.000,12.400,50.1719,50.0703
3.365,3751,36.00,140.09,175.0078,0.83374,0.82642,0.0000,0.0000,1432.1875,0.000,0.000,0.000,0.000,0.000,0.000,11.200,51.2578,51.0156
3.425,3813,36.00,148.97,173.8125,0.82739,0.82275,0.0000,0.0000,1527.1094,0.000,0.000,0.000,0.000,0.000,0.000,9.700,51.5703,51.3594
3.485,3898,36.00,159.00,190.6875,0.83960,0.84058,0.0000,0.0000,1639.5313,0.000,0.000,0.000,0.000,0.000,0.000,9.300,52.0859,50.8047
3.545,4003,36.00,170.44,192.4922,0.85083,0.84961,0.0000,0.0000,1766.7188,0.000,0.000,0.000,0.000,0.000,0.000,8.800,49.8984,49.9297
3.606,4176,36.00,182.23,189.4219,0.84326,0.84570,0.0000,0.0000,1907.1875,0.000,0.000,0.000,0.000,0.000,0.000,6.300,89.4063,69.9609
3.666,4350,36.00,186.21,196.3359,0.86353,0.86328,0.0000,0.0000,1984.2969,0.000,0.000,0.000,0.000,0.000,0.000,6.500,94.2188,81.3047
3.725,4775,36.00,168.12,177.9375,0.86328,0.85815,0.0000,0.0000,1994.4531,-2.250,0.000,0.000,0.000,0.000,0.000,3.400,25.2578,70.6953
3.785,4866,36.00,166.41,207.6328,0.85083,0.84961,0.0000,0.0000,1975.1563,-2.250,0.000,0.000,0.000,0.000,0.000,4.100,99.9922,57.8359
3.845,4879,36.00,173.37,161.5078,0.87793,0.84961,0.0000,0.0000,2073.2031,-2.250,0.000,0.000,0.000,0.000,0.000,0.000,42.3516,52.9531
3.905,4673,36.00,184.92,199.8281,0.93237,0.83374,0.0000,0.0000,2128.5156,-2.250,0.000,0.000,0.000,0.000,0.000,-5.300,99.9922,78.4219
3.966,4640,36.00,188.41,199.8281,0.99976,0.86572,0.0000,0.0000,2183.0469,-2.250,0.000,0.000,0.000,0.000,0.000,-5.300,63.1953,58.5859
4.025,4623,36.00,190.78,207.0938,1.08472,0.85474,0.0000,0.0000,2173.6719,-1.500,0.000,0.000,0.000,0.000,0.000,-5.300,99.9922,95.3672
4.085,4705,36.00,190.90,208.0781,0.90186,0.85400,0.0000,0.0000,2207.7344,-1.500,0.000,0.000,0.000,0.000,0.000,-4.500,99.9922,100.0000
4.146,4922,36.00,191.72,209.1328,0.87231,0.85229,0.0000,0.0000,2276.0938,-2.250,0.000,0.000,0.000,0.000,0.000,-3.400,99.9922,99.9688
4.206,5219,36.00,194.77,213.1406,0.87280,0.85425,0.0000,0.0000,2356.4063,-2.250,0.000,0.000,0.000,0.000,0.000,-2.300,99.9922,99.9375
4.266,5475,36.00,195.77,210.4922,0.86377,0.84033,0.0000,0.0000,2406.7188,-2.250,0.000,0.000,0.000,0.000,0.000,-0.800,99.9922,99.9766
4.325,5653,36.00,199.03,213.5859,0.85840,0.83911,0.0000,0.0000,2459.6875,-2.250,0.000,0.000,0.000,0.000,0.000,0.000,99.9922,99.9922
4.385,5763,36.00,203.11,222.7500,0.85474,0.84424,0.0000,0.0000,2523.5156,-2.250,0.000,0.000,0.000,0.000,0.000,0.000,99.9922,99.9922
4.446,5917,36.00,208.71,222.5859,0.85327,0.84180,0.0000,0.0000,2587.0313,-2.250,0.000,0.000,0.000,0.000,0.000,0.000,99.9922,99.9922
4.505,6188,36.00,212.55,220.2656,0.84058,0.82690,0.0000,0.0000,2634.6875,-2.250,0.000,0.000,0.000,0.000,0.000,0.000,99.9922,99.9922
4.566,6431,36.00,213.14,220.2656,0.82446,0.81348,0.0000,0.0000,2650.4688,-0.750,0.000,-0.750,0.000,0.000,0.000,0.000,99.9922,99.9531
4.626,6620,36.00,211.38,219.4453,0.81421,0.80566,0.0000,0.0000,2643.4375,-0.750,0.000,-0.750,0.000,0.000,0.000,0.700,99.9922,99.9688
4.685,6793,36.00,208.88,218.8828,0.81323,0.80493,0.0000,0.0000,2626.4063,-0.750,0.000,-0.750,0.000,0.000,0.000,2.200,99.9922,100.0000
4.745,7042,36.00,205.76,218.5078,0.81445,0.80200,0.0000,0.0000,2595.0781,-0.750,0.000,-0.750,0.000,0.000,0.000,4.500,99.9922,99.9688
4.805,7272,36.00,201.59,217.7109,0.81665,0.81152,0.0000,0.0000,2554.0625,-0.750,0.000,-3.750,0.000,0.000,0.000,7.800,99.9922,99.9922
4.866,7339,36.00,199.20,217.8750,0.81104,0.80518,0.0000,0.0000,2526.3281,-0.750,0.000,-3.750,0.000,0.000,0.000,8.500,99.9922,99.9766
4.926,7454,36.00,197.77,217.5000,0.81079,0.80957,0.0000,0.0000,2514.2969,0.000,0.000,-3.750,0.000,0.000,0.000,5.200,99.9922,99.9688
4.985,6983,36.00,197.91,155.3906,0.81787,0.81030,0.0000,0.0000,2512.7344,0.000,0.000,-3.750,0.000,0.000,0.000,9.000,37.6406,66.3438
5.046,6657,36.00,199.78,220.8750,2.34180,1.59058,0.0000,0.0000,2508.0469,0.000,0.000,-3.000,0.000,0.000,0.000,9.700,99.9922,65.9219
5.105,5768,36.00,195.63,222.6328,2.19263,1.26025,0.0000,0.0000,2532.3438,-2.250,0.000,-1.500,0.000,0.000,0.000,9.000,99.9922,99.0625
5.165,5482,36.00,190.83,226.2656,2.66650,1.49414,0.0000,0.0000,2438.2031,-2.250,0.000,-1.500,0.000,0.000,0.000,6.700,99.9922,100.0000
5.226,5461,36.75,199.17,223.3594,0.97559,0.97192,0.0000,0.0000,2496.6406,-2.250,0.000,-1.500,0.000,0.000,0.000,6.600,99.9922,99.9219
